"performing_country","voting_type","voting_country","points_awarded"
"cyprus","jury","romania",0
"cyprus","jury","russia",2
"cyprus","jury","san marino",0
"cyprus","jury","serbia",0
"cyprus","jury","slovenia",0
"cyprus","jury","spain",6
"cyprus","jury","sweden",0
"cyprus","jury","switzerland",0
"cyprus","jury","ukraine",0
"cyprus","jury","united kingdom",0
"finland","jury","albania",3
"finland","jury","australia",0
"finland","jury","austria",1
"finland","jury","azerbaijan",0
"finland","jury","belgium",8
"finland","jury","bulgaria",1
"finland","jury","croatia",0
"finland","jury","cyprus",3
"finland","jury","czech republic",1
"finland","jury","denmark",8
"finland","jury","estonia",7
"finland","jury","finland",0
"finland","jury","france",0
"finland","jury","georgia",0
"finland","jury","germany",0
"finland","jury","greece",0
"finland","jury","iceland",5
"finland","jury","ireland",0
"finland","jury","israel",0
"finland","jury","italy",10
"finland","jury","latvia",4
"finland","jury","lithuania",0
"finland","jury","malta",2
"finland","jury","moldova",0
"finland","jury","netherlands",0
"finland","jury","north macedonia",0
"finland","jury","norway",0
"finland","jury","poland",2
"finland","jury","portugal",0
"finland","jury","romania",8
"finland","jury","russia",0
"finland","jury","san marino",1
"finland","jury","serbia",10
"finland","jury","slovenia",4
"finland","jury","spain",0
"finland","jury","sweden",0
"finland","jury","switzerland",1
"finland","jury","ukraine",0
"finland","jury","united kingdom",4
"france","jury","albania",10
"france","jury","australia",7
"france","jury","austria",8
"france","jury","azerbaijan",4
"france","jury","belgium",0
"france","jury","bulgaria",7
"france","jury","croatia",6
"france","jury","cyprus",7
"france","jury","czech republic",10
"france","jury","denmark",0
"france","jury","estonia",10
"france","jury","finland",7
"france","jury","france",0
"france","jury","georgia",0
"france","jury","germany",12
"france","jury","greece",5
"france","jury","iceland",6
"france","jury","ireland",12
"france","jury","israel",8
"france","jury","italy",3
"france","jury","latvia",3
"france","jury","lithuania",5
"france","jury","malta",3
"france","jury","moldova",4
"france","jury","netherlands",12
"france","jury","north macedonia",7
"france","jury","norway",4
"france","jury","poland",0
"france","jury","portugal",6
"france","jury","romania",4
"france","jury","russia",0
"france","jury","san marino",12
"france","jury","serbia",12
"france","jury","slovenia",2
"france","jury","spain",12
"france","jury","sweden",6
"france","jury","switzerland",12
"france","jury","ukraine",10
"france","jury","united kingdom",12
"germany","jury","albania",0
"germany","jury","australia",0
"germany","jury","austria",2
"germany","jury","azerbaijan",0
"germany","jury","belgium",0
"germany","jury","bulgaria",0
"germany","jury","croatia",0
"germany","jury","cyprus",0
"germany","jury","czech republic",0
"germany","jury","denmark",0
"germany","jury","estonia",0
"germany","jury","finland",0
"germany","jury","france",0
"germany","jury","georgia",0
"germany","jury","germany",0
"germany","jury","greece",0
"germany","jury","iceland",0
"germany","jury","ireland",0
"germany","jury","israel",0
"germany","jury","italy",0
"germany","jury","latvia",0
"germany","jury","lithuania",0
"germany","jury","malta",0
"germany","jury","moldova",0
"germany","jury","netherlands",0
"germany","jury","north macedonia",0
"germany","jury","norway",0
"germany","jury","poland",0
"germany","jury","portugal",0
"germany","jury","romania",1
"germany","jury","russia",0
"germany","jury","san marino",0
"germany","jury","serbia",0
"germany","jury","slovenia",0
"germany","jury","spain",0
"germany","jury","sweden",0
"germany","jury","switzerland",0
"germany","jury","ukraine",0
"germany","jury","united kingdom",0
"greece","jury","albania",6
"greece","jury","australia",0
"greece","jury","austria",0
"greece","jury","azerbaijan",10
"greece","jury","belgium",0
"greece","jury","bulgaria",8
"greece","jury","croatia",0
"greece","jury","cyprus",12
"greece","jury","czech republic",0
"greece","jury","denmark",0
"greece","jury","estonia",0
"greece","jury","finland",2
"greece","jury","france",12
"greece","jury","georgia",0
"greece","jury","germany",0
"greece","jury","greece",0
"greece","jury","iceland",4
"greece","jury","ireland",0
"greece","jury","israel",0
"greece","jury","italy",0
"greece","jury","latvia",0
"greece","jury","lithuania",0
"greece","jury","malta",6
"greece","jury","moldova",8
"greece","jury","netherlands",0
"greece","jury","north macedonia",0
"greece","jury","norway",1
"greece","jury","poland",0
"greece","jury","portugal",0
"greece","jury","romania",0
"greece","jury","russia",7
"greece","jury","san marino",8
"greece","jury","serbia",3
"greece","jury","slovenia",3
"greece","jury","spain",1
"greece","jury","sweden",0
"greece","jury","switzerland",0
"greece","jury","ukraine",0
"greece","jury","united kingdom",0
"iceland","jury","albania",0
"iceland","jury","australia",8
"iceland","jury","austria",12
"iceland","jury","azerbaijan",0
"iceland","jury","belgium",3
"iceland","jury","bulgaria",0
"iceland","jury","croatia",10
"iceland","jury","cyprus",0
"iceland","jury","czech republic",8
"iceland","jury","denmark",10
"iceland","jury","estonia",8
"iceland","jury","finland",8
"iceland","jury","france",3
"iceland","jury","georgia",6
"iceland","jury","germany",3
"iceland","jury","greece",0
"iceland","jury","iceland",0
"iceland","jury","ireland",8
"iceland","jury","israel",0
"iceland","jury","italy",8
"iceland","jury","latvia",10
"iceland","jury","lithuania",4
"iceland","jury","malta",0
"iceland","jury","moldova",5
"iceland","jury","netherlands",10
"iceland","jury","north macedonia",4
"iceland","jury","norway",2
"iceland","jury","poland",10
"iceland","jury","portugal",8
"iceland","jury","romania",0
"iceland","jury","russia",0
"iceland","jury","san marino",0
"iceland","jury","serbia",7
"iceland","jury","slovenia",10
"iceland","jury","spain",7
"iceland","jury","sweden",7
"iceland","jury","switzerland",5
"iceland","jury","ukraine",4
"iceland","jury","united kingdom",10
"israel","jury","albania",0
"israel","jury","australia",0
"israel","jury","austria",0
"israel","jury","azerbaijan",0
"israel","jury","belgium",0
"israel","jury","bulgaria",3
"israel","jury","croatia",5
"israel","jury","cyprus",0
"israel","jury","czech republic",0
"israel","jury","denmark",1
"israel","jury","estonia",0
"israel","jury","finland",0
"israel","jury","france",5
"israel","jury","georgia",0
"israel","jury","germany",0
"israel","jury","greece",0
"israel","jury","iceland",0
"israel","jury","ireland",0
"israel","jury","israel",0
"israel","jury","italy",4
"israel","jury","latvia",0
"israel","jury","lithuania",1
"israel","jury","malta",0
"israel","jury","moldova",0
"israel","jury","netherlands",4
"israel","jury","north macedonia",8
"israel","jury","norway",8
"israel","jury","poland",6
"israel","jury","portugal",0
"israel","jury","romania",0
"israel","jury","russia",5
"israel","jury","san marino",0
"israel","jury","serbia",2
"israel","jury","slovenia",1
"israel","jury","spain",3
"israel","jury","sweden",4
"israel","jury","switzerland",0
"israel","jury","ukraine",7
"israel","jury","united kingdom",6
"italy","jury","albania",4
"italy","jury","australia",6
"italy","jury","austria",6
"italy","jury","azerbaijan",0
"italy","jury","belgium",2
"italy","jury","bulgaria",10
"italy","jury","croatia",12
"italy","jury","cyprus",8
"italy","jury","czech republic",6
"italy","jury","denmark",0
"italy","jury","estonia",3
"italy","jury","finland",6
"italy","jury","france",0
"italy","jury","georgia",12
"italy","jury","germany",6
"italy","jury","greece",4
"italy","jury","iceland",7
"italy","jury","ireland",0
"italy","jury","israel",0
"italy","jury","italy",0
"italy","jury","latvia",8
"italy","jury","lithuania",10
"italy","jury","malta",0
"italy","jury","moldova",0
"italy","jury","netherlands",0
"italy","jury","north macedonia",10
"italy","jury","norway",5
"italy","jury","poland",5
"italy","jury","portugal",3
"italy","jury","romania",3
"italy","jury","russia",10
"italy","jury","san marino",10
"italy","jury","serbia",8
"italy","jury","slovenia",12
"italy","jury","spain",0
"italy","jury","sweden",10
"italy","jury","switzerland",8
"italy","jury","ukraine",12
"italy","jury","united kingdom",0
"lithuania","jury","albania",0
"lithuania","jury","australia",0
"lithuania","jury","austria",0
"lithuania","jury","azerbaijan",0
"lithuania","jury","belgium",0
"lithuania","jury","bulgaria",0
"lithuania","jury","croatia",2
"lithuania","jury","cyprus",0
"lithuania","jury","czech republic",0
"lithuania","jury","denmark",0
"lithuania","jury","estonia",2
"lithuania","jury","finland",3
"lithuania","jury","france",0
"lithuania","jury","georgia",3
"lithuania","jury","germany",1
"lithuania","jury","greece",0
"lithuania","jury","iceland",0
"lithuania","jury","ireland",4
"lithuania","jury","israel",10
"lithuania","jury","italy",12
"lithuania","jury","latvia",6
"lithuania","jury","lithuania",0
"lithuania","jury","malta",0
"lithuania","jury","moldova",0
"lithuania","jury","netherlands",0
"lithuania","jury","north macedonia",0
"lithuania","jury","norway",0
"lithuania","jury","poland",0
"lithuania","jury","portugal",0
"lithuania","jury","romania",0
"lithuania","jury","russia",0
"lithuania","jury","san marino",6
"lithuania","jury","serbia",0
"lithuania","jury","slovenia",0
